step,t,true_n,true_e,true_d,true_vn,true_ve,true_vd,true_qw,true_qx,true_qy,true_qz,true_wx,true_wy,true_wz,est_n,est_e,est_d,est_vn,est_ve,est_vd,est_qw,est_qx,est_qy,est_qz,est_wx,est_wy,est_wz,m0,m1,m2,m3,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
24,0.096000,0.000000,-0.000000,-4.976062,0.000000,-0.000000,0.356053,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.878305,0.000000,0.000000,0.308546,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530124,0.530124,0.530124,0.530124,0.000000,-0.000000,-8.860789,0.000000,0.000000,0.000000
25,0.100000,0.000000,-0.000000,-4.974627,0.000000,-0.000000,0.358898,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.880991,0.000000,0.000000,0.311445,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530251,0.530251,0.530251,0.530251,0.000000,0.000000,-8.984642,0.000000,0.000000,0.000000
26,0.104000,0.000000,-0.000000,-4.973181,0.000000,-0.000000,0.361322,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.883362,0.000000,0.000000,0.313905,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530355,0.530355,0.530355,0.530355,0.000000,-0.000000,-9.098780,0.000000,0.000000,0.000000
27,0.108000,0.000000,-0.000000,-4.971728,0.000000,-0.000000,0.363359,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.885454,0.000000,0.000000,0.315959,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530437,0.530437,0.530437,0.530437,0.000000,0.000000,-9.203943,0.000000,0.000000,0.000000
28,0.112000,0.000000,-0.000000,-4.970268,0.000000,-0.000000,0.365039,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.887297,0.000000,0.000000,0.317640,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530499,0.530499,0.530499,0.530499,0.000000,0.000000,-9.300817,0.000000,0.000000,0.000000
29,0.116000,0.000000,-0.000000,-4.968802,0.000000,-0.000000,0.366390,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.888916,0.000000,0.000000,0.318977,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530542,0.530542,0.530542,0.530542,0.000000,-0.000000,-9.390031,0.000000,0.000000,0.000000
30,0.120000,0.000000,-0.000000,-4.967332,0.000000,-0.000000,0.367439,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.890335,0.000000,0.000000,0.319998,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530567,0.530567,0.530567,0.530567,0.000000,0.000000,-9.472168,0.000000,0.000000,0.000000
31,0.124000,0.000000,-0.000000,-4.965859,0.000000,-0.000000,0.368210,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.891573,0.000000,0.000000,0.320728,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530576,0.530576,0.530576,0.530576,0.000000,0.000000,-9.547768,0.000000,0.000000,0.000000
32,0.128000,0.000000,-0.000000,-4.964385,0.000000,-0.000000,0.368725,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.892647,0.000000,0.000000,0.321190,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530570,0.530570,0.530570,0.530570,0.000000,0.000000,-9.617327,0.000000,0.000000,0.000000
33,0.132000,0.000000,-0.000000,-4.962909,0.000000,-0.000000,0.369004,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.893574,0.000000,0.000000,0.321407,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530550,0.530550,0.530550,0.530550,0.000000,0.000000,-9.681303,0.000000,0.000000,0.000000
34,0.136000,0.000000,-0.000000,-4.961432,0.000000,-0.000000,0.369067,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.894366,0.000000,0.000000,0.321398,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530517,0.530517,0.530517,0.530517,0.000000,0.000000,-9.740124,0.000000,0.000000,0.000000
35,0.140000,0.000000,-0.000000,-4.959957,0.000000,-0.000000,0.368932,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.895035,0.000000,0.000000,0.321182,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530472,0.530472,0.530472,0.530472,0.000000,-0.000000,-9.794179,0.000000,0.000000,0.000000
36,0.144000,0.000000,-0.000000,-4.958482,0.000000,-0.000000,0.368614,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.895594,0.000000,0.000000,0.320776,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530416,0.530416,0.530416,0.530416,0.000000,0.000000,-9.843832,0.000000,0.000000,0.000000
37,0.148000,0.000000,-0.000000,-4.957010,0.000000,-0.000000,0.368129,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896049,0.000000,0.000000,0.320196,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530350,0.530350,0.530350,0.530350,0.000000,0.000000,-9.889418,0.000000,0.000000,0.000000
38,0.152000,0.000000,-0.000000,-4.955540,0.000000,-0.000000,0.367491,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896413,0.000000,0.000000,0.319456,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530275,0.530275,0.530275,0.530275,0.000000,0.000000,-9.931247,0.000000,0.000000,0.000000
39,0.156000,0.000000,-0.000000,-4.954073,0.000000,-0.000000,0.366712,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896691,0.000000,0.000000,0.318570,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530192,0.530192,0.530192,0.530192,0.000000,0.000000,-9.969604,0.000000,0.000000,0.000000
40,0.160000,0.000000,-0.000000,-4.952610,0.000000,-0.000000,0.365804,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896891,0.000000,0.000000,0.317551,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530100,0.530100,0.530100,0.530100,0.000000,0.000000,-10.004753,0.000000,0.000000,0.000000
